unit_code,unit_name,storm_id,pcpout_mm_v1_2,rain_geotiff_mm_v1_6,diff_mm,rel_diff_pct
AG01,Barbuda,sample_0001,958.8,961.61,2.81,0.29
AG01,Barbuda,sample_0002,0.0,0.15,0.15,
AG01,Barbuda,sample_0003,0.0,0.59,0.59,
AG01,Barbuda,sample_0004,0.3,1.12,0.82,270.47
AG01,Barbuda,sample_0005,0.58,2.09,1.52,263.26
AG01,Barbuda,sample_0006,0.0,1.46,1.46,
AG01,Barbuda,sample_0007,1.06,3.26,2.2,207.23
AG01,Barbuda,sample_0008,4.49,6.65,2.16,47.97
AG01,Barbuda,sample_0009,14.93,17.7,2.77,18.54
AG01,Barbuda,sample_0010,9.96,11.72,1.76,17.7
AG01,Barbuda,sample_0011,11.24,13.4,2.16,19.19
AG01,Barbuda,sample_0012,0.0,0.14,0.14,
AG01,Barbuda,sample_0013,0.0,2.49,2.49,
AG01,Barbuda,sample_0014,13.8,15.85,2.05,14.84
AG01,Barbuda,sample_0015,27.26,30.03,2.77,10.15
AG01,Barbuda,sample_0016,0.0,0.35,0.35,
AG01,Barbuda,sample_0017,12.0,15.62,3.61,30.11
AG01,Barbuda,sample_0018,35.42,41.87,6.45,18.2
AG01,Barbuda,sample_0019,27.26,30.43,3.16,11.6
AG01,Barbuda,sample_0020,35.59,38.15,2.56,7.2
AG01,Barbuda,sample_0021,31.06,35.8,4.75,15.29
AG01,Barbuda,sample_0022,34.4,38.74,4.34,12.62
AG01,Barbuda,sample_0023,0.0,0.0,0.0,
AG01,Barbuda,sample_0024,32.95,37.62,4.67,14.16
AG01,Barbuda,sample_0025,58.5,62.36,3.86,6.6
AG01,Barbuda,sample_0026,3.95,5.65,1.71,43.24
AG01,Barbuda,sample_0027,58.08,61.22,3.14,5.4
AG01,Barbuda,sample_0028,52.97,60.63,7.67,14.48
AG01,Barbuda,sample_0029,4.93,9.65,4.72,95.63
AG01,Barbuda,sample_0030,98.93,104.48,5.55,5.61
AG01,Barbuda,sample_0031,114.75,119.91,5.16,4.5
AG01,Barbuda,sample_0032,96.9,102.06,5.16,5.32
AG01,Barbuda,sample_0033,92.13,96.05,3.92,4.26
AG01,Barbuda,sample_0034,91.2,96.47,5.27,5.77
AG01,Barbuda,sample_0035,105.58,108.52,2.94,2.79
AG01,Barbuda,sample_0036,95.08,100.72,5.64,5.94
AG01,Barbuda,sample_0037,96.56,101.67,5.1,5.29
AG01,Barbuda,sample_0038,21.07,23.46,2.39,11.36
AG01,Barbuda,sample_0039,117.22,119.38,2.16,1.84
AG01,Barbuda,sample_0040,95.28,103.62,8.34,8.75
AG01,Barbuda,sample_0041,99.99,109.52,9.52,9.52
AG01,Barbuda,sample_0042,101.72,107.27,5.56,5.46
AG01,Barbuda,sample_0043,146.0,154.59,8.59,5.89
AG01,Barbuda,sample_0044,150.41,152.19,1.78,1.18
