ADM1_PCODE,ADM1_EN,population,pop_year,pop_source
BB01,Christ Church,51184,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB02,Saint Andrew,5677,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB03,Saint George,21940,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB04,Saint James,24819,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB05,Saint John,10417,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB06,Saint Joseph,6698,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB07,Saint Lucy,11136,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB08,Saint Michael,77394,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB09,Saint Peter,13565,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB10,Saint Philip,32130,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
BB11,Saint Thomas,14130,2021,Barbados Statistical Service 2021 estimate on adjusted 2010 census (citypopulation.de)
